"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","349","navigates to a page using goto","chromium","2026-07-16","passed","2026-07-16","Playwright supported actions","playwright-actions.spec.ts","",""
"","572","title is Bing","chromium","2026-07-16","passed","2026-07-16","","mytest.spec.ts","",""
"","208","hovers over an element","chromium","2026-07-16","passed","2026-07-16","Playwright supported actions","playwright-actions.spec.ts","",""
"","144","types into an input and presses Enter","chromium","2026-07-16","passed","2026-07-16","Playwright supported actions","playwright-actions.spec.ts","",""
"","465","double clicks a button","chromium","2026-07-16","passed","2026-07-16","Playwright supported actions","playwright-actions.spec.ts","",""
"","143","right clicks to open the context menu","chromium","2026-07-16","passed","2026-07-16","Playwright supported actions","playwright-actions.spec.ts","",""
"","117","uploads a file with setInputFiles","chromium","2026-07-16","failed","2026-07-16","Playwright supported actions","playwright-actions.spec.ts","",""
"","5110","focuses and blurs an element","chromium","2026-07-16","failed","2026-07-16","Playwright supported actions","playwright-actions.spec.ts","",""
"","576","title is google","chromium","2026-07-16","passed","2026-07-16","","mytest.spec.ts","",""
"","191","drags and drops an element","chromium","2026-07-16","passed","2026-07-16","Playwright supported actions","playwright-actions.spec.ts","",""
"","406","fills text into an input","chromium","2026-07-16","passed","2026-07-16","Playwright supported actions","playwright-actions.spec.ts","",""
"","252","renders a page that can be reported in multiple formats","chromium","2026-07-16","passed","2026-07-16","Reporter learning examples","reporters-learning.spec.ts","",""
"","457","clicks a button","chromium","2026-07-16","passed","2026-07-16","Playwright supported actions","playwright-actions.spec.ts","",""
"","117","selects an option from a dropdown","chromium","2026-07-16","passed","2026-07-16","Playwright supported actions","playwright-actions.spec.ts","",""
"","239","checks and unchecks a checkbox","chromium","2026-07-16","passed","2026-07-16","Playwright supported actions","playwright-actions.spec.ts","",""
